Matching Affiliation,Institution Guess,doi,url,Article Title,Authors,Year,Journal Title,All Affiliations
"Department of Clinical Chemistry and Laboratory Medicine EOLAB, Ente Ospedaliero Cantonale, Bellinzona, Switzerland",,10.1515/CCLM.2006.107,http://dx.doi.org/10.1515/CCLM.2006.107,Thyroglobulin assay during thyroxine treatment in low-risk differentiated thyroid cancer management: comparison with recombinant human thyrotropin-stimulated assay and imaging procedures,Luca Giovanella /// Luca Ceriani /// Antonella Ghelfo /// Franco Keller /// Andrea Sacchi /// Marco Maffioli /// Giuseppe Spriano,2006,Clinical Chemical Laboratory Medicine,"a1 /// 1.  ///  /// Cantonal Department of Nuclear Medicine and Thyroid Diseases, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland /// a2 /// 2.  ///  /// Cantonal Department of Nuclear Medicine and Thyroid Diseases, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland /// a3 /// 3.  ///  /// Laboratory for Endocrinology and Oncology, University Hospital “Ospedale di Circolo e Fondazione Macchi”, Varese, Italy /// a4 /// 4.  ///  /// Department of Clinical Chemistry and Laboratory Medicine EOLAB, Ente Ospedaliero Cantonale, Bellinzona, Switzerland /// a5 /// 5.  ///  /// Department of Medical Imaging, Campus-SME srl, Varese, Italy /// a6 /// 6.  ///  /// Head and Neck Surgery Department, University Hospital “Ospedale di Circolo e Fondazione Macchi”, Varese, Italy /// a7 /// 7.  ///  /// Head and Neck Surgery Department, National Cancer Centre “Istituto Regina Elena”, Roma, Italy"
"Urology Research Unit, Department of Urology, CHUV, CH-1011 Lausanne, Switzerland and Med Discovery S.A., Biopôle, Chemin des Croisettes 22, CH-1066 Epalinges, Switzerland",University of Lausanne,10.1515/BC.2006.091,http://dx.doi.org/10.1515/BC.2006.091,Activation and enzymatic characterization of recombinant human kallikrein 8,Tadaaki Kishi /// Sylvain M. Cloutier /// Christoph Kündig /// David Deperthes /// Eleftherios P. Diamandis,2006,Biological Chemistry,"a1 /// 1.  ///  /// Department of Pathology and Laboratory Medicine, Mount Sinai Hospital, Toronto M5G 1X5, ON, Canada, Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto M5G 1L5, ON, Canada and Urology Research Unit, Department of Urology, CHUV, CH-1011 Lausanne, Switzerland /// a2 /// 2.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1011 Lausanne, Switzerland and Med Discovery S.A., Biopôle, Chemin des Croisettes 22, CH-1066 Epalinges, Switzerland /// a3 /// 3.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1011 Lausanne, Switzerland and Med Discovery S.A., Biopôle, Chemin des Croisettes 22, CH-1066 Epalinges, Switzerland /// a4 /// 4.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1011 Lausanne, Switzerland and Med Discovery S.A., Biopôle, Chemin des Croisettes 22, CH-1066 Epalinges, Switzerland /// a5 /// 5.  ///  /// Department of Pathology and Laboratory Medicine, Mount Sinai Hospital, Toronto M5G 1X5, ON, Canada and Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto M5G 1L5, ON, Canada"
"Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland and Med Discovery SA, CH-1066 Epalinges, Switzerland",,10.1515/BC.2005.035,http://dx.doi.org/10.1515/BC.2005.035,Enzymatic profiling of human kallikrein 14 using phage-display substrate technology,Loyse M. Felber /// Carla A. Borgoño /// Sylvain M. Cloutier /// Christoph Kündig /// Tadaaki Kishi /// Jair Ribeiro Chagas /// Patrice Jichlinski /// Christian M. Gygi /// Hans-Jürg Leisinger /// Eleftherios P. Diamandis /// David Deperthes,2005,Biological Chemistry,"a1 /// 1.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland /// a2 /// 2.  ///  /// Department of Pathology and Laboratory Medicine, Mount Sinai Hospital, Toronto M5G 1X5, Canada /// a3 /// 3.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland and Med Discovery SA, CH-1066 Epalinges, Switzerland /// a4 /// 4.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland and Med Discovery SA, CH-1066 Epalinges, Switzerland /// a5 /// 5.  ///  /// Department of Pathology and Laboratory Medicine, Mount Sinai Hospital, Toronto M5G 1X5, Canada /// a6 /// 6.  ///  /// Centro Interdisciplinar de Investigacao Bioquimica, Universidade de Mogi das Cruzes, Mogi das Cruzes 08780-911, SP, Brazil /// a7 /// 7.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland /// a8 /// 8.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland /// a9 /// 9.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland /// a10 /// 10.  ///  /// Department of Pathology and Laboratory Medicine, Mount Sinai Hospital, Toronto M5G 1X5, Canada /// a11 /// 11.  ///  /// Urology Research Unit, Department of Urology, CHUV, CH-1066 Epalinges, Switzerland and Med Discovery SA, CH-1066 Epalinges, Switzerland"
"Empa, Swiss Federal Laboratories for Materials Science and Technology – Faculty for Mechanical Engineering, Dübendorf, CH-8600, Switzerland",,10.1515/hf-2014-0152,http://dx.doi.org/10.1515/hf-2014-0152,Damage evolution in wood: synchrotron radiation micro-computed tomography (SRμCT) as a complementary tool for interpreting acoustic emission (AE) behavior,Franziska Baensch /// Michaela Zauner /// Sergio J. Sanabria /// Markus G.R. Sause /// Bernd R. Pinzer /// Andreas J. Brunner /// Marco Stampanoni /// Peter Niemz,2015,Holzforschung,"aff1 /// 1 ///  /// ETH Zurich – Institute for Building Materials, Zürich, CH-8093, Switzerland /// aff2 /// 2 ///  /// Eberswalde University for Sustainable Development – Wood Science and Technology, Eberswalde, Germany /// aff3 /// 3 ///  /// Institute for Physics, Experimental Physics II – University of Augsburg, Augsburg, D-86135, Germany /// aff4 /// 4 ///  /// Paul Scherrer Institute – SLS Tomcat, Villigen PSI, CH-5232, Switzerland /// aff5 /// 5 ///  /// Empa, Swiss Federal Laboratories for Materials Science and Technology – Faculty for Mechanical Engineering, Dübendorf, CH-8600, Switzerland"
"Doctoral Candidate at the Institute of Mass Communication and Media Research, University of Zürich, Andreasstrasse 15, CH-8050 Zürich, Switzerland.",University of Zurich,10.1515/COMMUN.2007.003,http://dx.doi.org/10.1515/COMMUN.2007.003,Beyond accessibility? Toward an on-line and memory-based model of framing effects,Jörg Matthes,2007,Communications,"a1 /// 1 ///  ///  /// Doctoral Candidate at the Institute of Mass Communication and Media Research, University of Zürich, Andreasstrasse 15, CH-8050 Zürich, Switzerland."
"Geriatric Division and Department of Metabolic Diseases, Ospedale Regionale della Beata Vergine, Mendrisio, Switzerland",,10.1515/CCLM.2005.191,http://dx.doi.org/10.1515/CCLM.2005.191,Homocysteine and B vitamins in mild cognitive impairment and dementia,Pierluigi Quadri /// Claudia Fragiacomo /// Rita Pezzati /// Enrica Zanda /// Mauro Tettamanti /// Ugo Lucca,2005,Clinical Chemical Laboratory Medicine,"a1 /// 1.  ///  /// Geriatric Division and Department of Metabolic Diseases, Ospedale Regionale della Beata Vergine, Mendrisio, Switzerland /// a2 /// 2.  ///  /// Geriatric Division and Department of Metabolic Diseases, Ospedale Regionale della Beata Vergine, Mendrisio, Switzerland /// a3 /// 3.  ///  /// Geriatric Division and Department of Metabolic Diseases, Ospedale Regionale della Beata Vergine, Mendrisio, Switzerland /// a4 /// 4.  ///  /// Geriatric Division and Department of Metabolic Diseases, Ospedale Regionale della Beata Vergine, Mendrisio, Switzerland /// a5 /// 5.  ///  /// Laboratory of Geriatric Neuropsychiatry, Department of Neuroscience, Istituto di Ricerche Farmacologiche “Mario Negri”, Milan, Italy /// a6 /// 6.  ///  /// Laboratory of Geriatric Neuropsychiatry, Department of Neuroscience, Istituto di Ricerche Farmacologiche “Mario Negri”, Milan, Italy"
"Bern University of Applied Sciences, Biel, Switzerland",University of Bern,10.1515/HF.2009.012,http://dx.doi.org/10.1515/HF.2009.012,Fracture behaviour of wood and its composites. A review COST Action E35 2004–2008: Wood machining – micromechanics and fracture,Stefanie E. Stanzl-Tschegg /// Parviz Navi,2009,Holzforschung,"a1 /// 1 ///  /// Institute of Physics and Materials Science, BOKU-University of Natural Resources and Applied Life Sciences, Vienna, Austria /// a2 /// 2 ///  /// Bern University of Applied Sciences, Biel, Switzerland"
"Faculty of Business and Economics (HEC), University of Lausanne, Switzerland",University of Lausanne,10.1515/bap-2012-0034,http://dx.doi.org/10.1515/bap-2012-0034,"Asset freezing, corporate political resources and the Tullock paradox",Jean-Philippe Bonardi /// Santiago Urbiztondo,2013,Business and Politics,"aff1 /// 1 ///  /// Faculty of Business and Economics (HEC), University of Lausanne, Switzerland /// aff2 /// 2 ///  /// Fundación de Investigaciones Económicas Latinoamericanas (FIEL), Argentina"
"Institute of Molecular Life Sciences, University of Zurich, CH-8057 Zurich, Switzerland",University of Zurich,10.1515/BC.2011.084,http://dx.doi.org/10.1515/BC.2011.084,Toxicity of Alzheimer's disease-associated Aβ peptide is ameliorated in a  model by tight control of zinc and copper availability,Haiqing Hua /// Lisa Münter /// Anja Harmeier /// Oleg Georgiev /// Gerd Multhaup /// Walter Schaffner,2011,Biological Chemistry,"aff1 /// 1 ///  /// Institute of Molecular Life Sciences, University of Zurich, CH-8057 Zurich, Switzerland /// aff2 /// 2 ///  /// Institut für Chemie und Biochemie, Freie Universität Berlin, D-14195 Berlin, Germany"
" Olivier Siegenthaler, EPFL SB IMB MAD, Station 8, CH-1015 Lausanne, Switzerland. E-mail: olivier.siegenthaler@epfl.ch",EPFL,10.1515/JGT.2008.034,http://dx.doi.org/10.1515/JGT.2008.034,Hausdorff dimension of some groups acting on the binary tree,Olivier Siegenthaler,2008,Journal of Group Theory,"aff1 /// 1 ///  ///  Olivier Siegenthaler, EPFL SB IMB MAD, Station 8, CH-1015 Lausanne, Switzerland. E-mail:  /// mailto:olivier.siegenthaler@epfl.ch /// simple /// olivier.siegenthaler@epfl.ch /// "
"Seminar für Angewandte Mathematik, ETH Zürich, Rämistrasse 101, 8092 Zürich, Switzerland.",ETH Zurich,10.1515/mcma.2011.009,http://dx.doi.org/10.1515/mcma.2011.009,Fast simulation of Gaussian random fields,Annika Lang /// Jürgen Potthoff,2011,Monte Carlo Methods and Applications,"aff1 /// 1 ///  /// Fakultät für Mathematik und Informatik, Universität Mannheim, 68131 Mannheim, Germany. /// aff2 /// 2 ///  /// Seminar für Angewandte Mathematik, ETH Zürich, Rämistrasse 101, 8092 Zürich, Switzerland."
"Paul-Scherrer-Institut, Villigen, Switzerland",,10.12900/rbm14.20.2-0007,http://dx.doi.org/10.12900/rbm14.20.2-0007,Investigations into the Water Repellent Surface Near Layer in Concrete by Neutron Radiography,P. Zhang /// F. H. Wittmann /// T. J. Zhao /// E. H. Lehmann,2014,Restoration of Buildings and Monuments,"aff1 /// 1 ///  /// Qingdao Technological University, Qingdao, China /// aff2 /// 2 ///  /// Qingdao Technological University, Qingdao, China / Aedificat Institute Freiburg, Freiburg, Germany /// aff3 /// 3 ///  /// Paul-Scherrer-Institut, Villigen, Switzerland"
"Institut d'Electrochimie et de Radiochimie, Ecole Polytechnique Fedérale, Lausanne, Switzerland",EPFL,10.1524/ract.1984.37.4.199,http://dx.doi.org/10.1524/ract.1984.37.4.199,Competitive Reactions Determining Fate of Tc in Pertechnetate Solutions,M. COLIN /// E. IANOVICI /// P. LERCH /// A. G. MADDOCK,1984,Radiochimica Acta,"aff1 /// 1 ///  /// Institut d'Electrochimie et de Radiochimie, Ecole Polytechnique Fedérale, Lausanne, Switzerland /// aff2 /// 2 ///  /// Institut d'Electrochimie et de Radiochimie, University Chemical Laboratory, Cambridge, England"
"Chemin de la Tour Ronde 2, CH-1806 St. Légier, Switzerland",,10.1351/pac200072081563,http://dx.doi.org/10.1351/pac200072081563,"Determination of polar compounds, polymerized and oxidized triacylglycerols, and diacylglycerols in oils and fats: results of collaborative studies and the standardized method (Technical report)",M. C. Dobarganes /// J. Velasco /// A. Dieffenbacher,2000,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Instituto de la Grasa, Avda. Padre Garcia Tejero 4, 41012 Sevilla, Spain /// aff2 /// 2 ///  /// Chemin de la Tour Ronde 2, CH-1806 St. Légier, Switzerland"
Professor of Social Psychology at the University of Lausanne (Switzerland).,University of Lausanne,10.1515/text.2011.003,http://dx.doi.org/10.1515/text.2011.003,Third parties' voices in a therapeutic interview,Michèle Grossen /// Anne Salazar Orvig,2011,"Text & Talk - An Interdisciplinary Journal of Language, Discourse & Communication Studies",aff1 /// 1 ///  /// Professor of Social Psychology at the University of Lausanne (Switzerland). /// aff2 /// 2 ///  /// Professor of Linguistics at the University Sorbonne Nouvelle.
"The Skaggs Institute for Chemical Biology, TSRI, La Jolla, California 92037, USA; Laboratorium für Organische Chemie, ETH, CH-8092 Zürich, Switzerland",ETH Zurich,10.1351/pac200072030343,http://dx.doi.org/10.1351/pac200072030343,Chemical etiology of nucleic acid structure,A. Eschenmoser /// R. Krishnamurthy,2000,Pure and Applied Chemistry,"aff1 /// 1 ///  /// The Skaggs Institute for Chemical Biology, TSRI, La Jolla, California 92037, USA; Laboratorium für Organische Chemie, ETH, CH-8092 Zürich, Switzerland"
"Institute of Medicinal Chemistry, University of Lausanne, CH-1015 Lausanne, Switzerland;&gt; Lhasa Ltd., Department of Chemistry, University of Leeds, Woodhouse Lane, Leeds LS2 9JT, UK",University of Lausanne,10.1351/pac200476050907,http://dx.doi.org/10.1351/pac200476050907,Predicting drug metabolism: Concepts and challenges,B. Testa /// A.-L. Balmat /// Anthony Long,2004,Pure and Applied Chemistry,"aff1 /// 1 ///  /// Institute of Medicinal Chemistry, University of Lausanne, CH-1015 Lausanne, Switzerland;&gt; Lhasa Ltd., Department of Chemistry, University of Leeds, Woodhouse Lane, Leeds LS2 9JT, UK"
"Institut für Physik, Universität Basel, Klingelbergstr. 82, CH-4056 Basel, Switzerland",University of Basel,10.1524/zpch.1988.157.Part_2.575,http://dx.doi.org/10.1524/zpch.1988.157.Part_2.575,Band Structure Investigation of Liquid Alloys by Electron Spectroscopy*,G. Indlekofer /// P. Oelhafen /// H.-J. Güntherodt /// C.F. Hague /// J.-M. Mariot,1988,Zeitschrift für Physikalische Chemie,"a1 /// Institut für Physik, Universität Basel, Klingelbergstr. 82, CH-4056 Basel, Switzerland /// a2 /// Laboratoire de Chimie Physique, Université Pierre et Marie Curie F-75231 Paris Cedex 05, France"
"Institut für Physik, Universität Basel, Klingelbergstr. 82, CH - 4056 Basel, Switzerland",University of Basel,10.1524/zpch.1988.157.Part_2.817,http://dx.doi.org/10.1524/zpch.1988.157.Part_2.817,"Vibrational Density of States of Quasicrystalline, Glassy and Polycrystalline Pd Si U Measured at 296 K and at 220 K*",Jens-Boie Suck /// Hermann Rudin /// Hans Bretscher /// Peter Grütter /// Hans-Joachim Güntherodt,1988,Zeitschrift für Physikalische Chemie,"a1 /// Kernforschungszentrum Karlsruhe, Institut für Nukleare Festkörperphysik, POB 3640, D-7500 Karlsruhe, Federal Republic of Germany /// a2 /// Institut für Physik, Universität Basel, Klingelbergstr. 82, CH - 4056 Basel, Switzerland"
"Section de langues et civilisations slaves et de l’Asie du Sud, Quartier UNIL-Dorigny, Bâtiment Anthropole 4135, 1015 Lausanne, Switzerland",,10.1515/asia-2015-0026,http://dx.doi.org/10.1515/asia-2015-0026,"Sarma, S.L.P Anjaneya / Grimal, François: Bhaṭṭoji Dīkṣita on the Gajasūtra",Maria Piera Candotti,2015,Asiatische Studien - Études Asiatiques,"aff1 /// 1 ///  /// Section de langues et civilisations slaves et de l’Asie du Sud, Quartier UNIL-Dorigny, Bâtiment Anthropole 4135, 1015 Lausanne, Switzerland"
"Department of Clinical Chemistry and Laboratory Medicine, Ente Ospedaliero Cantonale, Bellinzona, Switzerland",,10.1515/cclm.2011.756,http://dx.doi.org/10.1515/cclm.2011.756,Serum thyroglobulin reference values according to NACB criteria in healthy subjects with normal thyroid ultrasound,Luca Giovanella /// Mauro Imperiali /// Anna Ferrari /// Alessia Palumbo /// Lino Furlani /// Maria Stella Graziani /// Roberto Castello,2012,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Department of Nuclear Medicine and Thyroid Centre, Oncology Institute of Southern Switzerland, Bellinzona, Switzerland /// aff2 /// 2 ///  /// Department of Clinical Chemistry and Laboratory Medicine, Ente Ospedaliero Cantonale, Bellinzona, Switzerland /// aff3 /// 3 ///  /// Department of Clinical Pathology, Azienda Ospedaliera Universitaria Integrata di Verona, Verona, Italy /// aff4 /// 4 ///  /// Department of Endocrinology, Ospedale Sacro Cuore Don Calabria, Negrar, Italy /// aff5 /// 5 ///  /// Department of Internal Medicine, Azienda Ospedaliera Universitaria Integrata di Verona, Verona, Italy"
"Swiss Federal Laboratories for Materials Testing and Research (EMPA), Department of High Performance Ceramics, Duebendorf, Switzerland",,10.1515/HF.2006.015,http://dx.doi.org/10.1515/HF.2006.015,Structural changes in activated wood-based carbons: correlation between specific surface area and localization of molecular-sized pores,Andreas Herzog /// Boris Reznik /// Tengfei Chen /// Thomas Graule /// Ulrich Vogt,2006,Holzforschung,"a1 /// 1.  ///  /// Swiss Federal Laboratories for Materials Testing and Research (EMPA), Department of High Performance Ceramics, Duebendorf, Switzerland /// a2 /// 2.  ///  /// Laboratorium für Elektronenmikroskopie, Universität Karlsruhe, Karlsruhe, Germany /// a3 /// 3.  ///  /// Laboratorium für Elektronenmikroskopie, Universität Karlsruhe, Karlsruhe, Germany /// a4 /// 4.  ///  /// Swiss Federal Laboratories for Materials Testing and Research (EMPA), Department of High Performance Ceramics, Duebendorf, Switzerland /// a5 /// 5.  ///  /// Swiss Federal Laboratories for Materials Testing and Research (EMPA), Department of High Performance Ceramics, Duebendorf, Switzerland"
"Faculty of Medicine, University of Zurich, CH-8091 Zurich, Switzerland",University of Zurich,10.1515/hsz-2012-0104,http://dx.doi.org/10.1515/hsz-2012-0104,"Tmem27 dimerization, deglycosylation, plasma membrane depletion, and the extracellular Phe-Phe motif are negative regulators of cleavage by Bace2",Daria Esterházy /// Pinar Akpinar /// Markus Stoffel,2012,Biological Chemistry,"aff1 /// 1 ///  /// Institute of Molecular Systems Biology, ETH Zurich, Wolfgang-Pauli Strasse 16, CH-8093 Zurich, Switzerland /// aff2 /// 2 ///  /// Competence Centre for Systems Physiology and Metabolic Diseases, ETH Zurich, CH-8093 Zurich, Switzerland /// aff3 /// 3 ///  /// Rockefeller University, 1230 York Avenue, New York, NY 10065, USA /// aff4 /// 4 ///  /// Faculty of Medicine, University of Zurich, CH-8091 Zurich, Switzerland /// aff5 /// a ///  /// Present address: PriceSpective, 22 Tudor Street, London EC4Y 0AY, UK"
"Institute for Biomechanics, ETH Zurich, Zurich, Switzerland",ETH Zurich,10.1515/BMT.2007.049,http://dx.doi.org/10.1515/BMT.2007.049,Does a specific MR imaging protocol with a supine-lying subject replicate tarsal kinematics seen during upright standing? / Bildet ein spezifisches MR-Verfahren mit rücklings liegendem Probanden die tarsale Kinematik unter stehenden Bedingungen nach?,Peter Wolf /// Alex Stacoff /// Anmin Liu /// Anton Arndt /// Chris Nester /// Arne Lundberg /// Edgar Stuessi,2007,Biomedizinische Technik,"a1 /// 1 ///  /// Institute for Biomechanics, ETH Zurich, Zurich, Switzerland /// a2 /// 2 ///  /// Institute for Biomechanics, ETH Zurich, Zurich, Switzerland /// a3 /// 3 ///  /// Centre for Rehabilitation and Human Performance Research, University of Salford, Salford, UK /// a4 /// 4 ///  /// Karolinska Institute, Stockholm, Sweden and The Swedish School of Sport and Health Sciences, Stockholm, Sweden /// a5 /// 5 ///  /// Centre for Rehabilitation and Human Performance Research, University of Salford, Salford, UK /// a6 /// 6 ///  /// Karolinska Institute, Stockholm, Sweden /// a7 /// 7 ///  /// Institute for Biomechanics, ETH Zurich, Zurich, Switzerland"
"Berner Fachhochschule, University of Applied Sciences HSB, Biel, Switzerland",University of Bern,10.1515/HF.2006.068,http://dx.doi.org/10.1515/HF.2006.068,Parameters of wood welding: A study with infrared thermography,Christelle Ganne-Chédeville /// Milena Properzi /// Antonio Pizzi /// Jean-Michel Leban /// Frédéric Pichelin,2006,Holzforschung,"a1 /// 1.  ///  /// Berner Fachhochschule, University of Applied Sciences HSB, Biel, Switzerland and ENSTIB-LERMAB, University of Nancy 1, Epinal, France /// a2 /// 2.  ///  /// Berner Fachhochschule, University of Applied Sciences HSB, Biel, Switzerland /// a3 /// 3.  ///  /// ENSTIB-LERMAB, University of Nancy 1, Epinal, France /// a4 /// 4.  ///  /// INRA, Institut National de la Recherche Agronimique, Centre de Champenoux, Champenoux, France /// a5 /// 5.  ///  /// Berner Fachhochschule, University of Applied Sciences HSB, Biel, Switzerland"
"Laboratory for Prenatal Medicine and Gynecologic Oncology, Women's Hospital/Department of Research, University of Basel, Basel, Switzerland",University of Basel,10.1515/CCLM.2008.071,http://dx.doi.org/10.1515/CCLM.2008.071,A rapid and accurate approach to identify single nucleotide polymorphisms of mitochondrial DNA using MALDI-TOF mass spectrometry,Alex Xiu-Cheng Fan /// Henk S.P. Garritsen /// Shereen E.L. Tarhouny /// Michael Morris /// Sinuhe Hahn /// Wolfgang Holzgreve /// Xiao Yan Zhong,2008,Clinical Chemical Laboratory Medicine,"a1 /// The first two authors contributed equally to this work. ///  /// 1 ///  /// Laboratory for Prenatal Medicine and Gynecologic Oncology, Women's Hospital/Department of Research, University of Basel, Basel, Switzerland /// a2 /// 2 ///  /// Institute for Clinical Transfusion Medicine, Staedtisches Klinikum Braunschweig GmbH, Braunschweig, Germany /// a3 /// 3 ///  /// Laboratory for Prenatal Medicine and Gynecologic Oncology, Women's Hospital/Department of Research, University of Basel, Basel, Switzerland and Medical Biochemistry Department, Faculty of Medicine, Zagazig University, Zagazig, Egypt /// a4 /// 4 ///  /// Laboratoire de Diagnostic Moleculaire, Service de Medicine Genetique, Geneva, Switzerland /// a5 /// 5 ///  /// Laboratory for Prenatal Medicine and Gynecologic Oncology, Women's Hospital/Department of Research, University of Basel, Basel, Switzerland /// a6 /// 6 ///  /// Laboratory for Prenatal Medicine and Gynecologic Oncology, Women's Hospital/Department of Research, University of Basel, Basel, Switzerland /// a7 /// 7 ///  /// Laboratory for Prenatal Medicine and Gynecologic Oncology, Women's Hospital/Department of Research, University of Basel, Basel, Switzerland"
"Division of Clinical Chemistry and Biochemistry, University Children’s Hospital Zurich and Center for Integrative Human Physiology, University of Zurich, Zurich, Switzerland",University of Zurich,10.1515/cclm.2011.738,http://dx.doi.org/10.1515/cclm.2011.738,No evidence for the involvement of the lipoxin A4 receptor () gene in the susceptibility to coronary artery disease,Vanessa Waechter /// Jacqueline Marti-Jaun /// Angelika Weber /// Zoltan Laszlo Madi /// Martin Hersberger,2012,Clinical Chemistry and Laboratory Medicine,"aff1 /// 1 ///  /// Division of Clinical Chemistry and Biochemistry, University Children’s Hospital Zurich and Center for Integrative Human Physiology, University of Zurich, Zurich, Switzerland"
"Zurich University of Applied Sciences, Technikumstrasse 9, 8400 Winterthur, Switzerland",University of Zurich,10.1515/cmam-2014-0005,http://dx.doi.org/10.1515/cmam-2014-0005,Functional A Posteriori Error Estimation for Stationary Reaction-Convection-Diffusion Problems,Martin Eigel /// Tatiana Samrowski,2014,Computational Methods in Applied Mathematics,"aff1 /// 1 ///  /// Weierstrass Institute, Mohrenstr. 39, 10117 Berlin, Germany /// aff2 /// 2 ///  /// Zurich University of Applied Sciences, Technikumstrasse 9, 8400 Winterthur, Switzerland"
"Institut für Mathematik, Universität Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland",University of Zurich,10.1515/CRELLE.2011.095,http://dx.doi.org/10.1515/CRELLE.2011.095,Representations up to homotopy of Lie algebroids,Camilo Arias Abad /// Marius Crainic,2012,Journal für die reine und angewandte Mathematik (Crelles Journal),"aff1 /// 1 ///  /// Institut für Mathematik, Universität Zürich, Winterthurerstrasse 190, 8057 Zürich, Switzerland /// aff2 /// 2 ///  /// Mathematics Institute, Utrecht University, 3508 TA Utrecht, The Netherlands"
"Ecole Polytechnique Fédérale de Lausanne (EPFL), Institute of Microengineering (IMT), Photovoltaics and Thin-Film Electronics Laboratory, Breguet 2, CH-2000 Neuchâtel, Switzerland",EPFL,10.1515/green-2011-0018,http://dx.doi.org/10.1515/green-2011-0018,High-efficiency Silicon Heterojunction Solar Cells: A Review,Stefaan De Wolf /// Antoine    Descoeudres ///  Zachary C.  Holman /// Christophe    Ballif,2012,green,"aff1 /// 1 ///  /// Ecole Polytechnique Fédérale de Lausanne (EPFL), Institute of Microengineering (IMT), Photovoltaics and Thin-Film Electronics Laboratory, Breguet 2, CH-2000 Neuchâtel, Switzerland"
"Ciba AG, Basel, Switzerland",,10.1515/hf.2011.022,http://dx.doi.org/10.1515/hf.2011.022,Photostability and moisture uptake properties of wood veneers coated with a combination of thin sol-gel films and light stabilizers,Mandla A. Tshabalala /// Ryan Libert /// Christian M. Schaller,2011,Holzforschung,"aff1 /// 1 ///  /// USDA Forest Service Forest Products Laboratory, One Gifford Pinchot Drive, Madison, WI, USA /// aff2 /// 2 ///  /// Ciba AG, Basel, Switzerland"
"Department of Mathematics, ETH Zentrum, CH-8093 Zürich, Switzerland",ETH Zurich,10.1515/acv-2013-0106,http://dx.doi.org/10.1515/acv-2013-0106,Immersed spheres of finite total curvature into manifolds,Andrea Mondino /// Tristan Rivière,2014,Advances in Calculus of Variations,"aff1 /// 1 ///  /// Scuola Normale Superiore, Piazza dei Cavalieri 7, 56126 Pisa, Italy /// aff2 /// 2 ///  /// Department of Mathematics, ETH Zentrum, CH-8093 Zürich, Switzerland"
"ETH Zürich, KOF, Weinbergstrasse 35, WEH E6, 8092 Zürich, Switzerland",ETH Zurich,10.1515/bejeap-2012-0067,http://dx.doi.org/10.1515/bejeap-2012-0067,Effects of the Endogenous Scope of Preferentialism on International Goods Trade,Peter Egger /// Georg Wamser,2013,The B.E. Journal of Economic Analysis & Policy,"aff1 /// 1 ///  /// ETH Zürich, KOF, Weinbergstrasse 35, WEH E6, 8092 Zürich, Switzerland /// aff2 /// 2 ///  /// University of Tübingen, Melanchthon-str. 30, 72074 Tübingen, Germany"
"Chair of Biocompatible Materials Science and Engineering, Dept. of Materials Science Swiss Federal Institute of Technology, Zürich Wagistr. 23, 8952 Schlieren, Switzerland",ETH Zurich,10.1515/bmte.1996.41.s1.420,http://dx.doi.org/10.1515/bmte.1996.41.s1.420,Influence of Calcium Phosphates on the Degradation of Poly Lactic Acid for Medical Implants,K. Ruffieux /// A. Dell'Agosti /// B. Riesen /// E. Wintermantel,1996,Biomedizinische Technik/Biomedical Engineering,"aff1 /// Chair of Biocompatible Materials Science and Engineering, Dept. of Materials Science Swiss Federal Institute of Technology, Zürich Wagistr. 23, 8952 Schlieren, Switzerland"
"Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland",University of Fribourg,10.1515/jgt-2013-0040,http://dx.doi.org/10.1515/jgt-2013-0040,Fitting quotients of finitely presented abelian-by-nilpotent groups,J. R. J. Groves /// Ralph Strebel,2014,Journal of Group Theory,"aff1 /// 1 ///  /// Department of Mathematics and Statistics, University of Melbourne, Parkville, Victoria 3010, Australia /// aff2 /// 2 ///  /// Department of Mathematics, University of Fribourg, 1700 Fribourg, Switzerland"
